clean_tags,hashtags,date,Year,Month,Day,user_id,username,name,tweet,language,mentions,replies_count,retweets_count,likes_count,link,retweet,reply_to
"climatestrike, fridaysforfuture","['climatestrike', 'fridaysforfuture']",2021-01-01,2021,1,1,1103641840316645376,fffindia,Fridays For Future India,#ClimateStrike  First day of the year &amp; the youths across India welcome 2021 with their placards.. For Climate Action. To Fight For 1-5°C. To Stand in solidarity with Farmers.. Climate Action Now. #FridaysForFuture  @Fridays4future  @GretaThunberg  https://t.co/zpqaScwPEQ,en,"[{'screen_name': 'fridays4future', 'name': 'fridays for future', 'id': '1053768884732547072'}, {'screen_name': 'gretathunberg', 'name': 'greta thunberg', 'id': '1006419421244678144'}]",4,43,95,https://twitter.com/FFFIndia/status/1345038346809085952,False,[]
"climatestrikeonline, fridaysforfuture, actnow","['climatestrikeonline', 'fridaysforfuture', 'actnow']",2021-01-01,2021,1,1,1318261303547494401,kasieeenda,Kasia 🌿 #PeopleNotProfit,"First friday of 2021 - first week of #ClimateStrikeOnline!   This year must be a year of climate action, because the politicians have still done far too little to combat the climate crisis and we are running out of time! 📢  #FridaysForFuture #ActNow  https://t.co/zLmamdYuep",en,[],2,8,28,https://twitter.com/kasieeenda/status/1345101866334613511,False,[]
"fridaysforfuture, savecongorainforest","['fridaysforfuture', 'savecongorainforest']",2021-01-01,2021,1,1,1113846771158061057,elmgrace,Grace (Order Tomorrow Is Too Late!),"Week 60: #FridaysForFuture  And day 419: #SaveCongoRainforest Let's hope 2021 will be a year of action, for climate justice.  That's all I have to say today.  https://t.co/w3vUbC5Tuc",en,[],2,23,112,https://twitter.com/ElmGrace/status/1345120338024275968,False,[]
"schoolstrike4climate, fridaysforfuture","['schoolstrike4climate', 'fridaysforfuture']",2021-01-01,2021,1,1,1245938983705743360,rachelpeacen,Rachel Peace,It's a new year but same old crises. Week 40 #schoolstrike4climate  #FridaysForFuture  https://t.co/CwcPEfXKON,en,[],15,252,2096,https://twitter.com/RachelPeaceN/status/1344993169910468611,False,[]
fridaysforfuture,['fridaysforfuture'],2021-01-01,2021,1,1,18080108,tan123,Tom Nelson,"The belief that trace CO2 has caused anything to go ""awfully wrong"" is painfully stupid. #FridaysForFuture",en,[],2,6,24,https://twitter.com/tan123/status/1345016487443103744,False,[]
"facetheclimateemergency, fridaysforfuture, climatestrikeonline","['facetheclimateemergency', 'fridaysforfuture', 'climatestrikeonline']",2021-01-01,2021,1,1,1320250946916651015,lifewithsommer,Sommer Ackerman,"After 2020 I believe that we are asking ourselves: what more? It's a new year and it will still see injustice, destruction and deaths. However, we must remain hopeful and inspire change. #FaceTheClimateEmergency #FridaysForFuture #ClimateStrikeOnline  https://t.co/ckh8bqO2Gy",en,[],4,11,29,https://twitter.com/lifewithsommer/status/1344986711219195910,False,[]
"climatestrikeonline, fridaysforfuture","['climatestrikeonline', 'fridaysforfuture']",2021-01-01,2021,1,1,1133016751799771138,elijahmckenzee,Elijah Mckenzie-Jackson,It's a new year but unfortunately the same crisis... That's why we will still be going on #ClimateStrikeOnline to make this year the year of ACTION and CHANGE!   Will you join us? #FridaysForFuture  https://t.co/8nosSI2IVS,en,[],23,208,1398,https://twitter.com/elijahmckenzee/status/1344981618084225025,False,[]
"fridaysforfuture, climatestrike","['fridaysforfuture', 'climatestrike']",2021-01-01,2021,1,1,846421584,johnkerrrrr,Joao Duccini,"University Strike week 44 Another year has passed. The climate crisis is still taken as a joke. No real action has been taken by any country to avoid the climate and ecological breakdown. It must change! Time is running out, listen to the science! #FridaysForFuture #ClimateStrike  https://t.co/YCTbI1ATIO",en,[],3,35,139,https://twitter.com/Johnkerrrrr/status/1344969072572837889,False,[]
dannenroederforst,['dannenroederforst'],2021-01-01,2021,1,1,2305944687,dannipilger,#Hambi bleibt,Neujahr 2021 am #Dannenroederforst wegen dem Schnee und @Danni_Izengard ist es total hell im Camp weitere videos der letzten Jahre unteranderem von @Ende__Gelaende @ExtinctionR_DE @FridayForFuture @GerdSchinkel @keinea49 und weitere Aktionen gibt es hier  https://t.co/oAR2TEAgD2  https://t.co/J99RQItVI2,de,"[{'screen_name': 'ende__gelaende', 'name': 'ende gelände #100milliardenbessereideen', 'id': '3232960847'}, {'screen_name': 'extinctionr_de', 'name': 'extinction rebellion deutschland', 'id': '1062026032771989505'}, {'screen_name': 'fridayforfuture', 'name': 'fridays for future germany', 'id': '1072187272815149057'}, {'screen_name': 'gerdschinkel', 'name': 'gerd schinkel', 'id': '1188926406'}, {'screen_name': 'keinea49', 'name': 'danni wald statt asphalt #freeella', 'id': '1179482532921925632'}]",3,9,31,https://twitter.com/DanniPilger/status/1344804547743670273,False,[]
"ohnemeinenphysiotherapeuten, therapeutenamlimit, gesundheitkämpft, unten, einesorgeweniger, heimatstern, noafd, fridaysforfuture","['ohnemeinenphysiotherapeuten', 'therapeutenamlimit', 'gesundheitkämpft', 'unten', 'einesorgeweniger', 'heimatstern', 'noafd', 'fridaysforfuture']",2021-01-01,2021,1,1,3208594605,jmxmertens,Jörg Mertens🥦🌈🇺🇦#EineSorgeWeniger,"Guten Morgen vom Hirschgarten 👋😷Jetzt sind wir drin, im neuen Jahr! Schleichend tritt so manch Gesetz in Kraft das im Corona Nebel unterging... #ohnemeinenphysiotherapeuten #therapeutenamlimit #gesundheitkämpft #unten #einesorgeweniger #heimatstern #noafd #FridaysForFuture",de,[],7,5,15,https://twitter.com/JmxMertens/status/1344864797729370113,False,[]
"climatestrike, fightfor1point5, facetheclimateemergency, fridaysforfuture, climatechallenge2021, climateactionnow","['climatestrike', 'fightfor1point5', 'facetheclimateemergency', 'fridaysforfuture', 'climatechallenge2021', 'climateactionnow']",2021-01-01,2021,1,1,1299409144588505088,rakshind,Rakhshinda🌱🌏,Week 14th #ClimateStrike . Another year to make Paris real. #FightFor1Point5 #FaceTheClimateEmergency #FridaysForFuture #climatechallenge2021 #ClimateActionNow  https://t.co/MgZ6zT5dC5,en,[],7,32,142,https://twitter.com/RakshInd/status/1344876886728404996,False,[]
"climatestrike, india, year2021, fridaysforfuture, fightfor1point5, makeparisreal","['climatestrike', 'india', 'year2021', 'fridaysforfuture', 'fightfor1point5', 'makeparisreal']",2021-01-01,2021,1,1,926309671773683712,aaravseth_,AaravSeth🇮🇳,"Week 25th #ClimateStrike🌍 in #India🇮🇳 The planet is on fire &amp; our window of escape seems 2 get farther  from our reach each day  World leaders,we are counting on you 2 fulfill your promises for 1.5. Don't fail in this #Year2021   #FridaysForFuture #FightFor1Point5 #makeparisreal  https://t.co/RruRR8kN75",en,[],34,256,1184,https://twitter.com/AaravSeth_/status/1344882748746473473,False,[]
"climatestrike, fridaysforfuture, climatestrikeonline, 気候危機に特効薬なし","['climatestrike', 'fridaysforfuture', 'climatestrikeonline', '気候危機に特効薬なし']",2021-01-01,2021,1,1,1253577790516940800,shibainuvolunt1,柴犬好きのボランティア日記　love shibadogs volunteer diary,#ClimateStrike Week36 環境活動家の皆さん、今年もよろしくお願いします。 今は正月休みですが、地球温暖化には正月休みはありません。つまり、＃FridaysForFuture には休みがないということです。今すぐに行動を起こさなければなりません。 ＃ClimateStrikeOnline #気候危機に特効薬なし  https://t.co/7agEwrH592,ja,[],4,20,65,https://twitter.com/shibainuvolunt1/status/1344885032142295041,False,[]
fridaysforfuture,['fridaysforfuture'],2021-01-01,2021,1,1,1131805656032325633,patsyip_,Patsy Islam-Parsons,#FridaysForFuture week 69. 2021 must be the year that we finally wake up to the climate crisis. It must be the year we take real action instead of continuing to repeat meaningless words and empty promises.  https://t.co/NgQfnmObs6,en,[],46,402,2682,https://twitter.com/Patsyip_/status/1344886671624478722,False,[]
"fridaysforfuture, climatestrike","['fridaysforfuture', 'climatestrike']",2021-01-01,2021,1,1,1295597035790376960,nandini72113762,Nandini Dixit,"Year Changed, Calendar Changed  But we did not change #FridaysForFuture #ClimateStrike  Working at the ground level on the first day of the year We are making Ecobricks  to reduce plastic pollution  Wish you all a very Happy New Year 🎊🎊🎊🎊  https://t.co/F7PnsQuRPZ",en,[],3,26,71,https://twitter.com/Nandini72113762/status/1344913893445959680,False,[]
"climateemergency, fridays4future, fridaysforfuture","['climateemergency', 'fridays4future', 'fridaysforfuture']",2021-01-01,2021,1,1,14176770,chrisstoecker,Christian Stöcker,Still true:  https://t.co/GmHTbcfTd8 #ClimateEmergency #Fridays4Future #FridaysForFuture Immer noch wahr:  https://t.co/4NT5JbfLK4,de,[],11,66,353,https://twitter.com/ChrisStoecker/status/1344916338997940224,False,[]
"fridaysforfuture, cop26","['fridaysforfuture', 'cop26']",2021-01-01,2021,1,1,1170216594414243840,fffinbd,Fridays For Future Bangladesh,Climate Action Start here!  @GretaThunberg #FridaysForFuture #COP26  https://t.co/59sdUHzCs7,en,"[{'screen_name': 'gretathunberg', 'name': 'greta thunberg', 'id': '1006419421244678144'}]",23,329,1300,https://twitter.com/FFFinBD/status/1344922257894694913,False,[]
fridaysforfuture,['fridaysforfuture'],2021-01-01,2021,1,1,1170216594414243840,fffinbd,Fridays For Future Bangladesh,"Climate Justice Right Here, Right NOW!  @GretaThunberg #FridaysForFuture  https://t.co/q2W5kEmh1P",en,"[{'screen_name': 'gretathunberg', 'name': 'greta thunberg', 'id': '1006419421244678144'}]",2,12,54,https://twitter.com/FFFinBD/status/1344921890515689472,False,[]
"fridaysforfuture, climatestrike","['fridaysforfuture', 'climatestrike']",2021-01-01,2021,1,1,1340997154333061121,durgampremlata,Premlata durgam,#FridaysForFuture  #ClimateStrike  https://t.co/oN3WAxYSzO,qme,[],2,19,49,https://twitter.com/DurgamPremlata/status/1344929849580785664,False,[]
"climatestrikeonline, fridaysforfuture, climateaction, climateemergency, stayhome","['climatestrikeonline', 'fridaysforfuture', 'climateaction', 'climateemergency', 'stayhome']",2021-01-01,2021,1,1,1285117221505622020,nature_yoshiro,四白（Yoshiro）,My 23 week. Happy New Year🎍 明けましておめでとうございます！ #climatestrikeonline            #fridaysforfuture #climateaction                   #ClimateEmergency  #StayHome  https://t.co/5SZysXzQWT,ja,[],6,29,198,https://twitter.com/nature_yoshiro/status/1344940949718220801,False,[]
"systemchange, climatestrike, fridayforfuture","['systemchange', 'climatestrike', 'fridayforfuture']",2021-01-01,2021,1,1,1143754384532262912,sosfromthekids,S.O.S From The Kids🌎,"It’s a New Year!  Our eyes are open. Leaders, show us that  People &amp; Planet come before the polluting interests of the few who continue to make record profits.   Show us hope in 2021.  Show us #SystemChange   #ClimateStrike online #FridayForFuture  https://t.co/5JnU0U9pGm",en,[],10,29,81,https://twitter.com/sosfromthekids/status/1344942108457758720,False,[]
"climatestrikeonline, climatestrike, climateaction, climatejustice, climatebreakdown, climateemergency, facetheclimateemergency, fridaysforfuture, climateactionnow","['climatestrikeonline', 'climatestrike', 'climateaction', 'climatejustice', 'climatebreakdown', 'climateemergency', 'facetheclimateemergency', 'fridaysforfuture', 'climateactionnow']",2021-01-01,2021,1,1,1050034013887520768,decarboniser14,Garima 🌼,01.01.2021 Day of Revolution Week 95. . . . . . #ClimateStrikeOnline #ClimateStrike #ClimateAction #ClimateJustice #climatebreakdown #ClimateEmergency #FaceTheClimateEmergency #fridaysforfuture  #ClimateActionNow  https://t.co/OmQAqJhBJ3,en,[],4,12,35,https://twitter.com/decarboniser14/status/1344947779517333505,False,[]
"fridaysforfuture, facetheclimateemergency","['fridaysforfuture', 'facetheclimateemergency']",2021-01-01,2021,1,1,1008688766062661632,mnyomb1,Nyombi Morris,I notice that the climate issue is coming up on the news 🗞️now more often it can't be ignored anymore as it is coming to our doorstep!! The work is still Going on! No going back... Welcome to 2021 were we don't need excuses  #FridaysForFuture : Week 34 #FaceTheClimateEmergency  https://t.co/8YLOwg4MgV,en,[],3,43,139,https://twitter.com/mnyomb1/status/1344951364028407809,False,[]
"schoolstrike4climate, happynewyear2021, climatecrisis, facetheclimateemergency, fridaysforfuture","['schoolstrike4climate', 'happynewyear2021', 'climatecrisis', 'facetheclimateemergency', 'fridaysforfuture']",2021-01-01,2021,1,1,1121040383880912901,ocakyagmur1,Yağmur Ocak,Week 76 #schoolstrike4climate in Istanbul  I am hoping that the new year will be a very fruitful one for our fight for the climate ✊🌍  We will never give up ✌️🌍  #HappyNewYear2021 #ClimateCrisis  #FaceTheClimateEmergency #FridaysForFuture  https://t.co/iLtKVnu6SM,en,[],25,173,1177,https://twitter.com/ocakyagmur1/status/1344955251363897346,False,[]
"climatestrike, climatestrikeonline, facetheclimateemergency, fightfor1point5, ratifyparis, fridaysforfuture, schoolstrike4climate","['climatestrike', 'climatestrikeonline', 'facetheclimateemergency', 'fightfor1point5', 'ratifyparis', 'fridaysforfuture', 'schoolstrike4climate']",2021-01-01,2021,1,1,1106233568131461121,cevikushb,Deniz4Future,"My 93rd week on #ClimateStrike 🌍 2021 starts with a #ClimateStrikeOnline for me, due to full lockdown until Monday. My New Year's wish is for all nations to #FaceTheClimateEmergency &amp; #FightFor1Point5, and for Turkey to #RatifyParis first🌏#FridaysForFuture #schoolstrike4climate  https://t.co/Ee3u81HKuk",en,[],49,311,2317,https://twitter.com/CevikusHB/status/1344959862116134914,False,[]
fridaysforfuture,['fridaysforfuture'],2021-01-01,2021,1,1,71556008,jef_europe,Young European Federalists,"As we enter a new year, it is arguably time for some New Year's Resolutions!   With 2021 starting on a Friday this year, we believe it is the perfect opportunity to kick-off the year with a plan to go Greener as part of our support for #FridaysForFuture!  https://t.co/OdYySAGZiH",en,[],3,6,24,https://twitter.com/JEF_Europe/status/1344965226479955968,False,[]
fridaysforfuture,['fridaysforfuture'],2021-01-01,2021,1,1,1170216594414243840,fffinbd,Fridays For Future Bangladesh,"Decade for Climate Action started today. Climate Justice Right here, Right NOW! @GretaThunberg #FridaysForFuture  https://t.co/5TIEVhhzH9",en,"[{'screen_name': 'gretathunberg', 'name': 'greta thunberg', 'id': '1006419421244678144'}]",3,36,114,https://twitter.com/FFFinBD/status/1344925993497051136,False,[]
"fridaysforfuture, doppelmoral, grün, links","['fridaysforfuture', 'doppelmoral', 'grün', 'links']",2021-01-02,2021,1,2,701538258753298432,ju_mucnord,JU München-Nord,"Wenn jeder in normalen Zeiten so viel fliegen würde, wie grüne Spitzenpolitiker, #Fridaysforfuture-Sprecher*:_Innen oder der Umwelthilfe Chef, dann müssten an allen Flughafen zusätzliche Start- und Landebahnen gebaut werden. ✈️✈️✈️  #Doppelmoral ist #grün  Doppelmoral ist #links",de,[],7,15,126,https://twitter.com/JU_MucNord/status/1345421215532462087,False,[]
"b117, covid_19, joinin, extinctionrebellion, fridaysforfuture","['b117', 'covid_19', 'joinin', 'extinctionrebellion', 'fridaysforfuture']",2021-01-02,2021,1,2,2160368191,torstenluetten,Torsten Luetten 🔆🌡🇬🇧🇩🇪💉😷,#B117 #Covid_19 is just for starters.  Why?  Because destruction of our livelihoods still goes on. #JoinIn #ExtinctionRebellion #FridaysForFuture @sunrisemvmt @ExtinctionR @Ende__Gelaende @Fridays4future @Klimaliste @BespokePanic @RadikalKlima Until we stop Carbon Majors.  https://t.co/offxnrUwLb,en,"[{'screen_name': 'sunrisemvmt', 'name': 'sunrise movement 🌅', 'id': '1880725393'}, {'screen_name': 'extinctionr', 'name': 'extinction rebellion', 'id': '1019974187975430144'}, {'screen_name': 'ende__gelaende', 'name': 'ende gelände #100milliardenbessereideen', 'id': '3232960847'}, {'screen_name': 'fridays4future', 'name': 'fridays for future', 'id': '1053768884732547072'}, {'screen_name': 'klimaliste', 'name': 'klimaliste deutschland', 'id': '1136277497144848384'}, {'screen_name': 'bespokepanic', 'name': 'beyond politics 💜', 'id': '1269911034820780038'}, {'screen_name': 'radikalklima', 'name': 'radikalklima', 'id': '1375763482864418817'}]",2,6,8,https://twitter.com/TorstenLuetten/status/1345431725401382914,False,[]
"unitebehindthescience, fridaysforfuture","['unitebehindthescience', 'fridaysforfuture']",2021-01-02,2021,1,2,478950658,officialtobin,Tobin Bell,"Well, and simply said Greta. Let's make our dreams come true with our smart work and by showing up. #unitebehindthescience #FridaysForFuture",en,[],2,4,61,https://twitter.com/officialtobin/status/1345429671123382272,False,[]
