clean_tags,date,Month,tweet,language,replies_count,retweets_count,likes_count,Year,Day
"fridaysforfuture, 2021end, welcome2022",2021-12-31,12,2021 comes to an End..Tomorrow is the first blank page of a 365-page book. Let the New Year begin with the warmest of aspirations.💫 🎊 Good morning everyone 😊  #FridaysForFuture #2021end #welcome2022 🎊,english,4,8,31,2021,31
"marshallfire, climateemergency, fridaysforfuture",2021-12-31,12,"Drought and very strong winds in December provided the perfect setting for this horrible #MarshallFire in Colorado. Hundreds of houses destroyed, tens of thousands evacuated. Again, a sad reminder of the urgency to fight climate change #ClimateEmergency #FridaysForFuture",english,3,38,60,2021,31
"fridaysforfuture, dontlookup",2021-12-31,12,"#FridaysForFuture Week 71  Most of you have already seen the almost documentary #DontLookUp  ,right? Scary fact:There’s another kind of comet travelling inevitably towards Earth:climate collapse. We don’t have 6 months to stop it,but 8 years.96 months.Or just short of 3,000 days.  https://t.co/noiJMC8AEl",english,3,15,20,2021,31
"fridaysforfuture, vancouver, climateaction",2021-12-31,12,"✨✨✨TOMORROW! We’ll have a NYE #FridaysForFuture rally at #Vancouver City Hall from noon to 2 pm (as always)! We'll be at the corner of 12th &amp; Cambie. Everyone welcome to join!🤗💪  As tomorrow, December 31, is New Year's Eve, let's all make a resolution to take #climateaction!  https://t.co/8ghFYW9KKI",english,3,10,16,2021,31
"ohnemeinenphysiotherapeuten, therapeutenamlimit, gesundheitkämpft, unten, einesorgeweniger, heimatstern, noafd, fridaysforfuture, legalizeit",2021-12-31,12,"Guten Morgen vom Hirschgarten 👋😷Der Countdown läuft, noch zuckt 2021 noch... #ohnemeinenphysiotherapeuten #therapeutenamlimit #gesundheitkämpft #unten #einesorgeweniger #heimatstern #noafd #FridaysForFuture #LegalizeIt ✊💪🌈🍀☕💉🥦nur keinen Stress machen! 😉",german,3,3,7,2021,31
"infotweet, covidleugner, schwurbel, fridayforfuture, antifa, blockempfehlung",2021-12-30,12,"#InfoTweet  Einige meiner Follower folgen diesem Account👇🏻👋🏻  #CovidLeugner &amp; #Schwurbel vom Feinsten🤪🤦🏻‍♂️  #FridayForFuture &amp; #Antifa  sind die bösen Feindbilder, gegen die die Polizei angeblich  nicht vorgeht 🤣🤔  Pure Projektion wie so oft bei den Spinnern (#Blockempfehlung )  https://t.co/aXCEghs1Te",german,5,3,11,2021,30
dämlicheletzteworte,2021-12-30,12,"""Hey, das mit dem Gletscher da macht schon nix."" #DämlicheLetzteWorte",german,49,96,1205,2021,30
thwaites,2021-12-30,12,@FridayForFuture Guck-Empfehlung dazu: Wetter vor acht heute in der ARD mit Karsten Schwanke. Abrufbar in der ARD-Mediathek! #Thwaites,german,2,8,34,2021,30
thwaites,2021-12-30,12,"In der Antarktis bricht ein riesiger Gletscher ab! #Thwaites ist halb so groß wie Deutschland und aufgrund neuer Risse gehen Forscher:innen davon aus, dass er deutlich schneller als erwartet abbricht. Allein durch diesen Gletscher wird der Meeresspiegel um etwa 65cm ansteigen.  https://t.co/pIEXp6lDqG",german,146,789,2370,2021,30
fridaysforfuture,2021-12-30,12,Gestern hat mir ein lieber Mensch dieses Foto vom 2. oder 3. #FridaysForFuture Streik in Wien geschickt und ich liebs einfach!  https://t.co/6ROQHgDBz7,german,3,4,61,2021,30
"fridaysforfuture, climatechange, cop26",2021-12-30,12,We went to Portugal for a COP26 follow up and met the teenagers suing 33 countries. Filmed and edited by Maarten Willems. Produced by me #fridaysforfuture #climatechange #cop26   https://t.co/4JArq9uGNK,english,2,10,15,2021,30
greenwashing,2021-12-29,12,"Zum Thema ""Erdgas ist grün"" Hier eine aktuelle Studie: ""How green is blue hydrogen?""  Durch entweichendes Methan ist Gas gleichauf mit Kohle. Blauer Wasserstoff ist noch schlimmer #greenwashing (SMR) @OlafScholz @VQuaschning @FridayForFuture @M_Hundhausen  https://t.co/ucb1hkulI2",german,9,40,104,2021,29
"gruene, gruenermist, fridaysforfuture, gretathunberg, klimawandel, klimakatastrophe, klimakrise",2021-12-29,12,Erderwärmung? - Wer's glaubt wird selig 😸  #Gruene #GruenerMist #FridaysForFuture #GretaThunberg #Klimawandel #Klimakatastrophe #Klimakrise  https://t.co/s9np5h5tSn,german,3,4,7,2021,29
"ohnemeinenphysiotherapeuten, therapeutenamlimit, gesundheitkämpft, unten, einesorgeweniger, heimatstern, noafd, fridaysforfuture, legalizeit, münchenbleibtbunt, nonazis",2021-12-29,12,Guten Morgen vom Hirschgarten 👋😷Heute: Querschwurblerspaziergangsverbotmittwoch #ohnemeinenphysiotherapeuten #therapeutenamlimit #gesundheitkämpft #unten #einesorgeweniger #heimatstern #noafd #FridaysForFuture #LegalizeIt ✊💪🌈🍀☕💉🥦#Münchenbleibtbunt #NoNazis,german,3,4,8,2021,29
"ampel, containern, fridaysforfuture",2021-12-28,12,"Menschenfeindlich ist es, wenn Essen weggeschmissen, Menschen, die Essen retten, bestraft werden. #Ampel muss #Containern legalisieren, Lebensmittelverschwendung verbieten. Wenn es SPD, Grüne, FDP nicht wollen, müssen wir sie zwingen ✊  #FridaysForFuture",german,4,32,121,2021,28
olafschummelt,2021-12-28,12,"Hey @OlafScholz, @W_Schmidt_ @c_lindner, wenn ihr 1,5°C einhalten wollt, bringt es übrigens nichts, die neue EU-Taxonomie einfach durchzuwinken, mit der Atom und Gas als nachhaltig klassifiziert werden. Eine ganz schlechte Idee um Paris einzuhalten, just saying 😬 #OlafSchummelt",german,158,505,3152,2021,28
olafschummelt,2021-12-28,12,#OlafSchummelt  https://t.co/mFlJUpThfR,qme,93,342,2585,2021,28
markt,2021-12-28,12,"Auch ein #Markt|versagen - der ""Markt"" für Start- und Landerechte führt massenweise zu sinnlosen Leerflügen.  Dieser ökonomische Unsinn hört sich wie ein schlechter Witz an - ist aber leider Realität.  @parents4future @FridayForFuture",german,3,14,38,2021,28
"leerflüge, co2, klimaschutz",2021-12-28,12,"@Peter_Jelinek @Biokraftstoff 18 000 (fast) #Leerflüge: ca. 2,7 Mio Tonnen #CO2: Man hätte mit einem kleinen Verwaltungsakt (""slots dürfen bisweilen behalten werden, auch wenn diese pandemiebdingt nicht genutzt werden"") gewaltig #Klimaschutz machen können, Herr @Wissing !  @FridayForFuture @JVos63 @fdp @BMUV",german,4,22,63,2021,28
"blacklivesmatter, fridaysforfuture, revolution",2021-12-28,12,"Vielleicht sollten wir unsere Spaziergänge als #BlackLivesMatter oder #FridaysForFuture tarnen, dann versperrt auch keine Polizei den Weg. #Revolution",german,7,39,145,2021,28
"bitsundbäume, rc3, fediverse, joinmastodon",2021-12-28,12,"System Change mit Instagram??  Unser Thema 11:30 auf dem Podium von #bitsundbäume auf der #rC3  Mit dabei @digitalcourage, @FridayForFuture, @ende_gelande, @xr_germany, @NeueOekonomie &amp; ich für @Piraten_SN  Stream auch ohne Ticket  https://t.co/REV4ETCuab  #Fediverse #JoinMastodon",german,2,16,22,2021,28
"climateemergency, climateactionnow, climatebrawl, climatestrike, fridaysforfuture, extinctionrebellion, biodiversity, endcoal, sdgs, ghg, greennewdeal, pollution, windwatersolar",2021-12-27,12,@FAKEITTILLUMAK1 @ProfStrachan @ECOWARRIORSS @MsFowlersays @ChristineMilne @charluv2011 @BSuhic @ddelich @elder_jodi @devindthorpe @enricomolinari @climateguyw @StopAdaniCairns @SustMeme @debraruh @TheGentYYC @DanCas2 @armanwalker @Jackthelad1947 @Klinkmi @seth_leitman @BreezyLovinInWV @GeraldKutney @CapaTosta122 @kirillklip @blanketcrap @AntonBoym @alexharteco @smoothsale @suemarietta @lehimesa @joesegal @treacl @Wipapa5 @SimonCocking @GraceMurphy2 @sminaev2015 @Nicochan33 @jjj5819 @JFSebastian146 @JimBair62221006 @Altai_Armande @Stevewal63 @mvollmer1 @RosieM1919 @RobRobbEdwards @TheElfCall Somehow the Link Got Lost:   https://t.co/C7quAA2XUZ  #ClimateEmergency #ClimateActionNow #ClimateBrawl #ClimateStrike #FridaysForFuture #ExtinctionRebellion #Biodiversity #EndCoal #SDGs #GHG #GreenNewDeal #Pollution #WindWaterSolar @LopezResists @TheStephenRalph @SaleemulHuq  https://t.co/1BwkBZk7ZK,english,8,183,240,2021,27
kipppunkten,2021-12-26,12,"Atmosphäre in der Arktis 3°C wärmer, 4 Billionen Tonnen weniger Eis. WissenschaftlerInnen warnen, dass der point of no return sehr bald erreicht ist  Wann checkt ihr endlich, dass das Ereichen von #Kipppunkten unter allen Umständen verhindert werden muss?   https://t.co/nTnreH769n",german,81,276,942,2021,26
"antiakw, atomkraft, dontnuketheclimate",2021-12-26,12,"Fürs kollektive Gedächtnis: Es war die #AntiAKW-Bewegung, die das Ende der #Atomkraft besiegelt hat. Das Atomprogramm mit vielen Neubauplänen ließ sich gegen ihre harten Kämpfe politisch nicht durchsetzen. Und dabei bleibt es! #DontNukeTheClimate @Ende__Gelaende @FridayForFuture",german,2,23,74,2021,26
fridaysforfuture,2021-12-26,12,19/x  ...1984 &amp; 1986 gingen die AKW Grohnde &amp; Brokdorf als letzte AKW in Deutschland in Betrieb.  Seit dem Beginn der großen Anti-AKW-Demos 1977 war keine neue AKW-Baustelle mehr begonnen worden. Ab 1986 schlossen sich Proteste gegen die Castor-Transporte an.  #FridaysForFuture  https://t.co/Ebd4bugGQk,german,4,3,27,2021,26
fridaysforfuture,2021-12-25,12,"TIME TO SAY GOODBYE  Zum Jahresende werden 3 der 6 deutschen AKW abgeschaltet. Neben dem AKW Emsland auch die für die Anti-AKW-Bewegung symbolhaften AKW Brokdorf &amp; Grohnde  Zeit für einen Rückblick in die 70er &amp; 80er..  1/x  #FridaysForFuture Unten: AKW Brokdorf, Emsland, Grohnde  https://t.co/0p5F94NsbM",german,9,41,108,2021,25
"fff, diegruenen, klimaschutz",2021-12-25,12,"#fff @FridayForFuture Könnt Ihr Euch untereinander mal klarmachen und dann nach außen kommunizieren, dass #DieGruenen das Gegenteil von #Klimaschutz forcieren?   https://t.co/iMV7HlO4Ld",german,2,7,12,2021,25
"demokratie, querdenker, corona, rechtsstaat",2021-12-25,12,"Also... @FridayForFuture merkt euch für nächstes Jahr, statt Schulstreiks an Freitagen, einfach abends als random Spaziergänger Mob mit Fackeln vor den Häusern von Politikern auftauchen und ihr könnt haben was immer ihr wollt.  #Demokratie #Querdenker #Corona #Rechtsstaat",german,2,8,25,2021,25
"bitsundbäume, rc3",2021-12-25,12,"Ich darf für die @Piraten_SN an der Online-Podiumsdiskussion ""System Change mit Instagram?? Social Media und die Zivilgesellschaft"" von #bitsundbäume auf dem #rC3 teilnehmen \o/  Mit dabei sind @digitalcourage, @FridayForFuture, @ende_gelande, @xr_germany &amp; @NeueOekonomie  (1/2)  https://t.co/JORfkbgxoW",german,2,28,49,2021,25
"climatestrikeonline, climatestrike, fridaysforfuture",2021-12-25,12,"#climatestrikeonline Week 93  Shown here is today's temperature anomaly compared to the 1979-2000 baseline. The anomaly in the polar regions are quite alarming as well as in the US Midwest. Even where I live it's warm with no snow, a big change!  #climatestrike #fridaysforfuture  https://t.co/9vkdhv8Iq3",english,2,15,23,2021,25
"ludwig, fridaysforfuture, querdenken",2021-12-24,12,"Märchengeschichten vom Quatsch-Anwalt Ralf #Ludwig.  Er sagt: #FridaysForFuture wäre eine ""Gesteuerte Bewegung von einer Werbeagentur, die gleiche ""Werbeagentur"" die die Brutkastenlüge verbreitet hätte.  Und bezeichnet #Querdenken als Maß aller Bewegungen.  https://t.co/m61bkfohr5",german,8,5,22,2021,24
"climatestrike, fridaysforfuture, uprootthesystem",2021-12-24,12,Let climate action be the reason  you celebrate this holiday season!    Be nature's Santa.   #ClimateStrike  #FridaysForFuture  #UprootTheSystem  https://t.co/lqaSKXB4sL,english,7,66,282,2021,24
"dublin, fridaysforfuture, christmas, climateactionnow, merrychristmas",2021-12-24,12,Week 159 for #Dublin #FridaysForFuture supporters. @GretaThunberg All we want for #Christmas is #ClimateActionNow #MerryChristmas everyone.  https://t.co/cdWTPICNv0,english,2,13,44,2021,24
"climateaction, fridaysforfuture",2021-12-24,12,Solidarity with every climate activist this Christmas Eve 🙏🏻💚 #ClimateAction #FridaysForFuture,english,3,15,44,2021,24
fridaysforfuture,2021-12-24,12,"#FridaysforFuture, Dublin, Christmas Eve. Raising spirits at the turn of the year. We have this decade to turn things around. Join us. ⁦@GretaThunberg⁩ ⁦@flossiebeachcl1⁩ ⁦@AngelaDeegan1⁩ ⁦@Janemellett⁩ ⁦@mimsmo⁩ @miri  https://t.co/2pUglfWzPl",english,3,14,49,2021,24
"climatebrawl, fridaysforfuture, climatestrikes, climateaction, climatecrisis",2021-12-24,12,"Happy Holidays to the friends of #ClimateBrawl, climate activists - #FridaysForFuture #ClimateStrikes - and others - #ClimateAction - who strive to stop the #ClimateCrisis.  We fight the good fight together.  p.s. Happy Holidays to climate deniers too  https://t.co/29EMfbAZag",english,10,19,80,2021,24
"uprootthesystem, fridaysforfuture, climatestrike",2021-12-24,12,"University strike week 95 The climate crisis doesn’t take breaks, and neither do we. We’ll keep protesting, missing classes, holidays, and work until the climate crisis is treated as such. We need justice, let’s #UprootTheSystem  Happy holidays🎅  #FridaysForFuture #ClimateStrike  https://t.co/3aRBbFFTBT",english,9,37,184,2021,24
"wettribe, iamprosnow, fridaysforfuture",2021-12-24,12,Keep it a White Christmas at the North Pole! Plastics are not only a primary marine pollutant but also a driver of the climate crisis. Greenhouse gas emissions from plastic production could reach over a billion tons per year by 2030. #WetTribe #IAmProSnow #FridaysforFuture  https://t.co/oJgDwHcpVN,english,2,13,13,2021,24
"womensclimatestrike, fridaysforfuture",2021-12-24,12,Glossop group's Christmas Eve #WomensClimateStrike with #FridaysForFuture imploring @robertlargan to vote for decent climate measures and keep the climate at the top of the political agenda. We need action not just promises - for the present time and to ensure our futures.  https://t.co/XWWnYubVZq,english,9,25,103,2021,24
fridaysforfuture,2021-12-24,12,Christmassy school strike for climate week 149 in Glasgow! #FridaysForFuture  https://t.co/tfh9yoDDRX,english,11,72,320,2021,24
"climatestrikeonline, fridaysforfuture, climateaction, climateemergency",2021-12-24,12,My 74 weeks. Happy Holidays☀️ #climatestrikeonline  #fridaysforfuture #climateaction                                 #ClimateEmergency  https://t.co/Lmh9Dd3xxJ,english,4,70,489,2021,24
fridaysforfuture,2021-12-24,12,Buon Natale e non fermatevi mai! #FridaysForFuture  https://t.co/8er7DTauw9,italian,3,19,88,2021,24
"fridaysforfuture, uprootthesystem, climatestrike",2021-12-24,12,"Sciopero per il clima, buon Natale! ❤️🧑‍🎄 #FridaysForFuture #UprootTheSystem #ClimateStrike  https://t.co/4fVsYATS75",italian,28,188,845,2021,24
"uprootthesystem, fridaysforfuture",2021-12-24,12,My birthday could not stop me from striking I can’t stop demanding for climate action #UprootTheSystem #FridaysForFuture  https://t.co/XZiyUaaCS1,english,17,112,578,2021,24
"climatestrike, fridaysforfuture, uprootthesystem, happyholidays",2021-12-24,12,#ClimateStrike Week18  Trees take up the Climate We must not forget that these also need Care and Protection after-all they are for Us  In the era of Deforestation everyone should Plant more and more Trees just for Them🌳 #FridaysForFuture  #UprootTheSystem  #HappyHolidays 🎁🎅🏻🎄  https://t.co/glAHIktFBy,english,2,10,20,2021,24
